Year,State,District,Quarter,House_Type,Interest_Rate,Inflation_Rate,GDP,Unemployment_Rate,Population,House_Overhang,House_Price,House_Supply
2015,Johor,Johor Bahru,4,Terraced House,3.16,3.6,307745,3.1,1516.1,217,380000,189055
2015,Johor,Johor Bahru,4,Town House,3.16,3.6,307745,3.1,1516.1,62,260500,1069
2015,Johor,Kluang,1,Cluster House,3.24,1.1,282255,3.1,328.4,10,,304
2015,Johor,Kluang,1,Condominium,3.24,1.1,282255,3.1,328.4,0,,363
2015,Johor,Kluang,1,Detached House,3.24,1.1,282255,3.1,328.4,33,285000,6074
2015,Johor,Kluang,1,Flat,3.24,1.1,282255,3.1,328.4,0,,64
2015,Johor,Kluang,1,Semi-Detached House,3.24,1.1,282255,3.1,328.4,65,468000,878
2015,Johor,Kluang,1,Terraced House,3.24,1.1,282255,3.1,328.4,522,204000,10512
2015,Johor,Kluang,1,Town House,3.24,1.1,282255,3.1,328.4,0,,48
2015,Johor,Kluang,2,Cluster House,3.23,2.8,288975,3.1,328.4,10,,156
2015,Johor,Kluang,2,Condominium,3.23,2.8,288975,3.1,328.4,0,,0
2015,Johor,Kluang,2,Detached House,3.23,2.8,288975,3.1,328.4,33,250000,6752
2015,Johor,Kluang,2,Flat,3.23,2.8,288975,3.1,328.4,0,82000,560
2015,Johor,Kluang,2,Semi-Detached House,3.23,2.8,288975,3.1,328.4,44,464000,4400
2015,Johor,Kluang,2,Terraced House,3.23,2.8,288975,3.1,328.4,522,180000,28242
2015,Johor,Kluang,2,Town House,3.23,2.8,288975,3.1,328.4,0,,0
2015,Johor,Kluang,3,Cluster House,3.21,3.83,297965,3.1,328.4,8,390000,304
2015,Johor,Kluang,3,Condominium,3.21,3.83,297965,3.1,328.4,0,,56
2015,Johor,Kluang,3,Detached House,3.21,3.83,297965,3.1,328.4,0,260000,6074
2015,Johor,Kluang,3,Flat,3.21,3.83,297965,3.1,328.4,0,,64
2015,Johor,Kluang,3,Semi-Detached House,3.21,3.83,297965,3.1,328.4,35,355000,878
2015,Johor,Kluang,3,Terraced House,3.21,3.83,297965,3.1,328.4,338,185000,10546
2015,Johor,Kluang,3,Town House,3.21,3.83,297965,3.1,328.4,0,,48
2015,Johor,Kluang,4,Cluster House,3.16,3.6,307745,3.1,328.4,8,471060,304
2015,Johor,Kluang,4,Condominium,3.16,3.6,307745,3.1,328.4,0,,56
2015,Johor,Kluang,4,Detached House,3.16,3.6,307745,3.1,328.4,0,205000,6074
2015,Johor,Kluang,4,Flat,3.16,3.6,307745,3.1,328.4,0,,64
2015,Johor,Kluang,4,Semi-Detached House,3.16,3.6,307745,3.1,328.4,35,464500,878
2015,Johor,Kluang,4,Terraced House,3.16,3.6,307745,3.1,328.4,338,166500,10546
2015,Johor,Kluang,4,Town House,3.16,3.6,307745,3.1,328.4,0,,48
2015,Johor,Kota Tinggi,1,Cluster House,3.24,1.1,282255,3.1,213.9,0,551900,156
2015,Johor,Kota Tinggi,1,Condominium,3.24,1.1,282255,3.1,213.9,0,190000,0
2015,Johor,Kota Tinggi,1,Detached House,3.24,1.1,282255,3.1,213.9,0,180000,6743
2015,Johor,Kota Tinggi,1,Flat,3.24,1.1,282255,3.1,213.9,0,,560
2015,Johor,Kota Tinggi,1,Semi-Detached House,3.24,1.1,282255,3.1,213.9,6,370000,4360
2015,Johor,Kota Tinggi,1,Terraced House,3.24,1.1,282255,3.1,213.9,60,195000,27940
2015,Johor,Kota Tinggi,1,Town House,3.24,1.1,282255,3.1,213.9,0,545000,0
2015,Johor,Kota Tinggi,2,Cluster House,3.23,2.8,288975,3.1,213.9,0,819800,304
2015,Johor,Kota Tinggi,2,Condominium,3.23,2.8,288975,3.1,213.9,0,147500,56
2015,Johor,Kota Tinggi,2,Detached House,3.23,2.8,288975,3.1,213.9,0,160000,6074
2015,Johor,Kota Tinggi,2,Flat,3.23,2.8,288975,3.1,213.9,0,,64
2015,Johor,Kota Tinggi,2,Semi-Detached House,3.23,2.8,288975,3.1,213.9,6,,878
2015,Johor,Kota Tinggi,2,Terraced House,3.23,2.8,288975,3.1,213.9,0,180000,10546
2015,Johor,Kota Tinggi,2,Town House,3.23,2.8,288975,3.1,213.9,0,,48
2015,Johor,Kota Tinggi,3,Cluster House,3.21,3.83,297965,3.1,213.9,0,600000,156
2015,Johor,Kota Tinggi,3,Condominium,3.21,3.83,297965,3.1,213.9,,150000,0
2015,Johor,Kota Tinggi,3,Detached House,3.21,3.83,297965,3.1,213.9,0,255000,6752
2015,Johor,Kota Tinggi,3,Flat,3.21,3.83,297965,3.1,213.9,0,,560
